"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.961249993E-4,-5.117041674E-1,-1.699785590E-1,9.943014801E-2
1.028812501E-2,-3.665078625E-1,-1.777553558E-2,1.396759486E-1
2.027912500E-2,2.121746984E-1,8.864788234E-2,-1.080735022E-1
3.027012500E-2,4.918044846E-1,5.713665247E-2,-2.594351113E-1
4.026212500E-2,4.184111108E-1,1.587209147E-1,-2.819550776E-1
5.025320833E-2,3.056409788E-1,3.418393368E-1,-1.430761045E-1
6.024420833E-2,2.493138734E-1,4.492152661E-1,-9.466583669E-2
7.023620834E-2,3.945367831E-1,5.567560869E-1,-6.889715731E-2
8.022720834E-2,4.926917996E-1,5.933824611E-1,-1.528813004E-2
9.021920833E-2,4.804794511E-1,5.481179953E-1,-6.883108377E-2
1.002102083E-1,2.642435691E-1,5.210728687E-1,-2.104103011E-1
1.102012083E-1,2.604379088E-2,5.833796293E-1,-4.250282586E-1
1.201932083E-1,-1.682947071E-1,6.548735350E-1,-7.151448798E-1
1.301842083E-1,-4.956493212E-1,7.365176225E-1,-8.273617190E-1
1.401752083E-1,-8.427827270E-1,8.567533332E-1,-8.298333371E-1
1.501672083E-1,-9.360602885E-1,8.894965714E-1,-8.218565655E-1
1.601582083E-1,-9.064925270E-1,8.385035884E-1,-8.118379462E-1
1.701492083E-1,-7.695472281E-1,7.407153386E-1,-7.903535217E-1
1.801412083E-1,-6.043217245E-1,6.473487532E-1,-7.162535119E-1
1.901322083E-1,-4.934785424E-1,5.048895299E-1,-6.332604718E-1
2.001232083E-1,-4.870292097E-1,4.032567358E-1,-5.122383106E-1
2.101152083E-1,-3.314991206E-1,3.890368921E-1,-1.638612020E-1
2.201062083E-1,-1.752754055E-1,4.260556144E-1,1.209169114E-1
2.300982083E-1,-1.697616273E-1,4.045372760E-1,5.866160631E-2
2.400892083E-1,-2.863897522E-1,3.969236165E-1,-1.781892192E-1
2.500802083E-1,-3.857263447E-1,5.451856166E-1,-3.291426927E-1
2.600722083E-1,-4.418121064E-1,7.522261673E-1,-3.929632974E-1
2.700632083E-1,-4.639714457E-1,9.312503690E-1,-4.029649597E-1
2.800542083E-1,-3.589425887E-1,1.124806071E0,-3.548511457E-1
2.900462083E-1,-2.793552594E-1,1.408733999E0,-1.788312435E-1
3.000372083E-1,-2.520296127E-2,1.898525434E0,2.511963844E-1
3.100282083E-1,9.156154990E-2,2.308706442E0,8.016515118E-1
3.200202083E-1,-4.398611829E-2,2.168317133E0,1.458776225E0
3.300112083E-1,-2.392047684E-1,1.691526398E0,2.053750298E0
3.400022083E-1,-2.913059449E-1,1.138082759E0,2.239445588E0
3.499942083E-1,-5.134951696E-1,6.654675204E-1,1.750634147E0
3.599852083E-1,-3.871440022E-1,-3.444799393E-1,1.313272356E0
3.699772083E-1,8.995795101E-2,-1.044704479E0,9.463122118E-1
3.799682083E-1,7.308909930E-1,-1.233253210E0,7.507322037E-1
3.899592083E-1,9.775815131E-1,-1.559155961E0,9.328162533E-1
3.999512083E-1,1.124680063E0,-1.527711974E0,1.094801084E0
4.099422083E-1,1.440595331E0,-1.151891543E0,1.381631570E0
4.199332083E-1,1.875046524E0,-9.057980239E-1,1.644303700E0
4.299252083E-1,2.316011369E0,-7.208143401E-1,1.511953728E0
4.399162083E-1,2.157751653E0,-4.746424681E-1,1.075409378E0
4.499072083E-1,1.957276064E0,-3.888790172E-1,2.634749526E-1
4.598992083E-1,6.057421593E-1,-1.466327319E0,-6.161965424E-1
4.698902083E-1,1.346458814E0,-4.668118769E-1,-7.301874268E-1
4.798812083E-1,2.228112807E0,7.759360421E-1,-4.332050049E-1
4.898732083E-1,2.573397908E0,1.214747942E0,-9.273274720E-2
4.998642083E-1,2.199477238E0,1.065664408E0,9.037573457E-1
5.098562083E-1,1.675617001E0,8.464710045E-1,4.360034823E-2
5.198472083E-1,1.063674601E0,3.875785965E-1,-1.029384189E0
5.298382083E-1,5.676391440E-1,-2.378974771E-1,-1.398028332E0
5.398302083E-1,3.179483810E-1,-7.137871563E-1,-1.353859634E0
5.498212083E-1,2.567499968E-1,-9.032194018E-1,-1.010211754E0
5.598122083E-1,4.430911482E-1,-9.976320541E-1,-7.621676034E-1
5.698042083E-1,3.891889562E-1,-1.067650123E0,-1.043893470E0
5.797952083E-1,5.047139673E-1,-1.318635423E0,-1.787714265E0
5.897862083E-1,7.590548381E-1,-1.576271930E0,-2.065471627E0
5.997782083E-1,9.792874382E-1,-1.543847950E0,-1.948167710E0
6.097692083E-1,1.275296445E0,-1.453389185E0,-1.437926808E0
6.197602083E-1,1.569366076E0,-1.397213522E0,-4.779964310E-1
6.297522083E-1,1.831514003E0,-1.572786113E0,4.341908455E-2
6.397432083E-1,1.940958678E0,-1.268596120E0,5.553919315E-2
6.497352083E-1,1.806646380E0,-7.932370761E-1,-2.782736707E-1
6.597262083E-1,1.455025821E0,-7.282663241E-1,-6.453045666E-1
6.697172083E-1,1.049276636E0,-8.557654461E-1,-7.330262500E-1
6.797092083E-1,8.618529823E-1,-9.455076349E-1,-9.534978551E-1
6.897002083E-1,7.016422702E-1,-1.032004327E0,-1.097008992E0
6.996912083E-1,-4.561489675E-1,-1.191011755E0,-1.109643656E0
7.096832083E-1,-1.718134299E0,-1.053798653E0,-3.140960526E-1
7.196742083E-1,-7.559616610E-1,-5.129291591E-1,6.488117266E-1
7.296652083E-1,3.654610647E-1,-8.290445477E-2,4.568026131E-1
7.396572083E-1,8.908393114E-1,-1.216159460E-1,3.261980349E-1
7.496482083E-1,7.042697165E-1,5.764945328E-2,4.476786178E-1
7.596392083E-1,-1.173364931E0,5.004772210E-1,9.234624624E-1
7.696312083E-1,-2.020232304E0,9.319745466E-1,2.271538616E0
7.796222083E-1,-7.721713854E-1,1.351926545E0,1.554356566E0
7.896142083E-1,-2.174923025E-2,1.136088566E0,-4.837459981E-2
7.996052083E-1,-2.057021230E-2,6.701894394E-1,6.861356735E-2
8.095962083E-1,-2.896250897E-1,2.581136405E-1,2.300785804E-1
8.195882083E-1,-8.104156110E-1,-1.761122882E-2,9.048957986E-1
8.295792083E-1,-1.003479124E0,-1.191498828E-1,1.223246870E0
8.395702083E-1,-9.366736615E-1,-1.182491192E-1,6.615136331E-1
8.495622083E-1,-1.161452033E0,3.148105824E-1,6.671345615E-1
8.595532083E-1,-1.023247975E0,7.466771597E-1,1.333106112E0
8.695442083E-1,-6.396634653E-2,6.429630491E-1,1.497103554E0
8.795362083E-1,-3.388671239E-1,3.328501198E-1,1.974528712E0
8.895272083E-1,-1.158586678E0,-5.137375367E-1,1.420678691E0
8.995182083E-1,-1.707940556E0,-5.567838612E-1,-8.455249250E-1
9.095102083E-1,-1.426380750E0,-2.260872710E-1,-2.830613124E0
9.195012083E-1,-6.354995169E-1,-1.275143248E-1,-3.963117639E0
9.294922083E-1,3.273631657E-1,9.028100967E-4,-3.682505082E0
9.394842083E-1,1.424375593E0,2.809230441E-1,-2.485061975E0
9.494752083E-1,4.015688201E0,8.798197219E-1,-4.464653206E-1
9.594672083E-1,4.969473739E0,1.837864372E0,1.330636248E0
9.694582083E-1,4.144684795E0,1.881960564E0,2.661889962E0
9.794492083E-1,2.761185039E0,9.791484207E-1,3.158996263E0
9.894412083E-1,9.252517104E-1,1.576865423E-1,3.672357239E0
9.994322083E-1,-1.564966339E-1,-5.582760707E-1,4.084604654E0
1.009423208E0,-8.181476766E-1,-1.157998083E0,3.513132879E0
1.019415208E0,-1.284404945E0,-1.502394699E0,2.765016135E0
1.029406208E0,-5.056113687E-1,-1.618505492E0,2.013029703E0
1.039397208E0,7.155749425E-1,-1.423575987E0,1.028087862E0
1.049389208E0,6.627093887E-1,-1.115358140E0,2.015511847E-1
1.059379875E0,-3.460879236E-2,-9.225134593E-1,-3.138311738E-1
1.069370875E0,-5.671860213E-1,-7.019749036E-1,-5.138410324E-1
1.079362875E0,-1.069635983E0,-3.189735076E-1,-4.851972771E-1
1.089353875E0,-5.936164593E-1,-1.533593103E-1,-3.995712358E-1
1.099345875E0,2.160403658E-1,-6.849340707E-1,-2.018119705E-1
1.109336875E0,-1.612850284E-1,-5.873533970E-1,-4.847218984E-1
1.119327875E0,4.936256364E-1,-2.877508378E-1,-1.487385482E0
1.129319875E0,9.851502952E-1,3.427292830E-1,-1.963278669E0
1.139310875E0,8.389500234E-1,1.043920952E0,-1.769300798E0
1.149301875E0,5.206026429E-1,7.482541537E-1,-1.649416505E0
1.159293875E0,1.009391097E0,4.053687501E-1,-2.050728457E0
1.169284875E0,1.229084292E0,1.100500950E0,-1.184255297E0
1.179275875E0,8.862189878E-1,8.876622999E-1,-2.568787086E-1
1.189267875E0,1.088930625E0,1.389766216E-1,-5.780510616E-1
1.199258875E0,1.412008440E0,2.532969967E-1,-6.497496200E-1
1.209249875E0,1.175582341E0,-2.441855729E-2,1.510955608E-1
1.219241875E0,9.930059563E-1,1.573895037E-2,8.823425031E-1
1.229232875E0,8.375287845E-1,-1.478588346E-1,1.038050348E0
1.239223875E0,6.272270223E-1,-8.448349535E-3,1.284362553E0
1.249215875E0,7.238083338E-1,-1.001794687E-1,1.269101905E0
1.259206875E0,8.687932619E-1,-5.907468286E-1,1.333075122E0
1.269198875E0,6.883256751E-1,-1.050498777E0,1.661250685E0
1.279189875E0,1.072182007E-1,-1.327568799E0,1.654427569E0
1.289180875E0,-6.093909681E-1,-1.225764389E0,1.144779575E0
1.299172875E0,-5.399235611E-1,-6.969351885E-1,1.000172085E-1
1.309163875E0,1.933744383E-1,1.052390644E-1,-1.922663909E-1
1.319154875E0,1.537084330E0,4.610611403E-1,4.309912491E-1
1.329146875E0,2.212467412E0,2.815048420E-1,1.333864496E0
1.339137875E0,2.242806421E0,-3.980041820E-1,1.423786486E0
1.349128875E0,1.535188370E0,-9.195530140E-1,1.022707254E0
1.359120875E0,1.662095900E-1,-1.022908983E0,4.349299335E-1
1.369111875E0,-1.510420149E0,-1.279142159E0,-1.588431215E-1
1.379102875E0,-1.669399365E0,-1.915650759E0,-4.736905414E-1
1.389094875E0,-8.120681803E-1,-2.170185903E0,2.234957850E-1
1.399085875E0,-7.166148698E-1,-1.797294343E0,1.082634782E0
1.409076875E0,-1.441310884E-1,-1.454353391E0,2.417952311E-1
1.419068875E0,6.423299418E-1,-1.253712618E0,-1.278804190E0
1.429059875E0,5.371477416E-1,-1.573281080E-1,-1.663244001E0
1.439050875E0,-2.683082610E-2,8.371376789E-1,-1.484035612E0
1.449042875E0,9.017766014E-2,8.296976817E-1,-2.377635174E0
1.459033875E0,7.807043003E-1,4.633228433E-1,-3.374514692E0
1.469025875E0,1.210759995E0,1.326797551E-1,-2.355248525E0
1.479016875E0,7.350999650E-1,-3.625723940E-1,-7.962258804E-1
1.489007875E0,4.357125834E-2,-1.049299221E0,1.950993669E-1
1.498999875E0,-4.440521747E-1,-1.560040060E0,4.120988953E-1
1.508990875E0,-6.764532691E-1,-2.044871301E0,-2.785087287E-2
1.518981875E0,-1.075220805E0,-1.559930717E0,2.249347848E-1
1.528973875E0,-7.357222550E-1,-1.044979883E0,6.797037363E-1
1.538964875E0,-4.930942342E-2,-6.528509831E-1,6.372938812E-1
1.548955875E0,3.044094090E-1,-3.335818988E-1,2.842027473E-1
1.558947875E0,5.021723288E-1,-3.810723996E-1,-5.397880518E-1
1.568938875E0,1.249390648E-1,-4.127572918E-1,-9.344125432E-1
1.578929875E0,-6.974574910E-1,-5.371199673E-1,-8.625970405E-1
1.588921875E0,-1.134751454E0,-9.751582807E-1,-4.452701497E-1
1.598912875E0,-9.513863524E-1,-1.361102580E0,1.997783089E-1
1.608903875E0,-5.124064180E-1,-1.456694031E0,8.119081128E-1
1.618895875E0,-1.844644511E-1,-1.512734916E0,9.999726945E-1
1.628886875E0,8.180620149E-2,-1.067644860E0,1.009529969E0
1.638878875E0,-1.941364036E-1,-7.417479569E-1,9.004022133E-1
1.648869875E0,-5.801132284E-1,-8.899473917E-1,3.594622600E-1
1.658860875E0,-8.330580034E-1,-1.028587214E0,-3.600826496E-1
1.668852875E0,-6.008071824E-1,-8.241182685E-1,-6.549887252E-1
1.678843875E0,2.151344859E-1,-5.278644097E-1,-4.742173755E-1
1.688834875E0,9.156087747E-1,-4.159580576E-1,1.305455214E-1
1.698826875E0,9.739859140E-1,-6.948246360E-1,1.059266385E0
1.708817875E0,4.336878388E-1,-1.070297157E0,1.641642632E0
1.718808875E0,-3.053815086E-1,-1.173259023E0,1.538379049E0
1.728800875E0,-6.372044188E-1,-9.874315864E-1,9.940406942E-1
1.738791875E0,-7.614509540E-1,-8.072028583E-1,3.815752602E-1
1.748782875E0,-9.624936502E-1,-1.060270936E0,-3.964564240E-1
1.758774875E0,-5.682463042E-1,-9.575593311E-1,-3.233235437E-1
1.768765875E0,-1.802579641E-2,-1.001943791E-1,-2.407257754E-1
1.778756875E0,6.752038653E-1,-2.967286527E-2,4.469845533E-2
1.788748875E0,8.604836375E-1,-9.608261704E-2,8.034898764E-1
1.798739875E0,3.514437539E-1,-3.056216830E-1,1.339137515E0
1.808730875E0,-1.117495005E-1,-7.147273886E-1,1.627576570E0
1.818722875E0,3.443893075E-2,-6.530790246E-1,1.395526893E0
1.828713875E0,4.631862012E-1,-1.882101774E-1,9.870018160E-1
1.838704875E0,7.846351641E-1,1.282680309E-1,7.177363658E-1
1.848696875E0,9.597257245E-1,1.089710498E-1,8.710059214E-1
1.858687875E0,8.185118119E-1,-1.083395505E-1,1.379750521E0
1.868679875E0,7.519949830E-1,-1.764660448E-1,1.850795782E0
1.878670875E0,9.373882643E-1,-9.072832167E-2,2.078730188E0
1.888661875E0,1.088416363E0,5.721266627E-2,1.916805584E0
1.898653875E0,1.389832728E0,1.491180325E-1,1.443734263E0
1.908644875E0,1.562664729E0,1.195603573E-1,9.812563419E-1
1.918635875E0,1.482344889E0,-7.292238057E-2,7.245454484E-1
1.928627875E0,1.331816655E0,-1.642646599E-1,4.479201078E-1
1.938618875E0,1.109688680E0,-2.581551558E-1,9.904130816E-2
1.948609875E0,8.346191369E-1,-3.740843922E-1,-1.628841323E-1
1.958601875E0,7.484946205E-1,-4.420383936E-1,-3.365189552E-1
1.968592875E0,8.530712684E-1,-2.676598048E-1,-4.871701276E-1
1.978583875E0,9.071295811E-1,-5.288221836E-3,-4.393130064E-1
1.988575875E0,9.107084426E-1,1.053276497E-1,-2.872801369E-1
1.998566875E0,7.093377176E-1,3.563059330E-2,-2.122726393E-1
2.008557875E0,5.859517463E-1,-1.164630872E-1,-2.081585383E-1
2.018549875E0,5.612748517E-1,-1.591612101E-1,-2.754962432E-1
2.028540875E0,5.482081520E-1,-9.607560039E-2,-4.279226303E-1
2.038531875E0,4.278807862E-1,4.210287631E-2,-7.015594590E-1
2.048523875E0,2.975819077E-1,1.423984122E-1,-1.012369376E0
2.058515750E0,1.798149279E-1,1.153380829E-1,-1.110465775E0
2.068507750E0,2.081296312E-1,6.497601449E-2,-8.542419541E-1
2.078498750E0,4.256140034E-1,1.937591851E-1,-4.434235990E-1
2.088489750E0,7.107083049E-1,3.401161623E-1,-1.037319446E-1
2.098481750E0,8.072272705E-1,3.540237647E-1,9.162294567E-2
2.108472750E0,6.957195523E-1,2.480102366E-1,1.722700828E-1
2.118463750E0,3.776032100E-1,2.001589626E-1,1.478778380E-1
2.128455750E0,2.767461221E-1,1.741558099E-1,-7.072908998E-2
2.138446750E0,3.318716248E-1,1.081419146E-1,-2.709915483E-1
2.148437750E0,2.725397814E-1,1.006253189E-1,-2.814270741E-1
2.158429750E0,2.063032534E-1,2.118270814E-2,-1.416452909E-1
2.168420750E0,1.737815515E-1,-9.307539403E-2,3.344958186E-2
2.178411750E0,2.878613867E-1,-1.880084485E-1,2.735473663E-1
2.188403750E0,3.818809599E-1,-1.794422776E-1,5.498464322E-1
2.198394750E0,4.014861258E-1,-4.217889011E-2,4.546385586E-1
2.208385750E0,5.236609194E-1,1.308869988E-1,-1.108398199E-2
2.218377750E0,5.889026533E-1,1.950572670E-1,-4.381143272E-1
2.228368750E0,3.763942982E-1,1.986275768E-1,-6.148961216E-1
2.238359750E0,8.009768162E-2,1.369885683E-2,-7.575746155E-1
2.248351750E0,-2.086669537E-1,-1.727337670E-1,-9.288091564E-1
2.258342750E0,-2.828779875E-1,-2.146010005E-1,-9.874479586E-1
2.268333750E0,-2.511849824E-1,-2.232133645E-1,-8.746914214E-1
2.278325750E0,-1.203173159E-1,-1.895889509E-1,-6.406074983E-1
2.288316750E0,-5.088550385E-2,-2.422209084E-1,-3.617040825E-1
2.298307750E0,-7.531909944E-2,-4.031561637E-1,-1.204058647E-2
2.308299750E0,-2.292349916E-1,-5.419626313E-1,2.498795915E-1
2.318290750E0,-4.150696829E-1,-5.551785082E-1,3.935831022E-1
2.328282750E0,-4.313344806E-1,-4.947592288E-1,4.506864256E-1
2.338273750E0,-2.671759843E-1,-3.691423255E-1,4.426710624E-1
2.348264750E0,-1.374743440E-1,-1.651405728E-1,3.250940806E-1
2.358256750E0,-1.454250590E-1,2.272578835E-2,2.002145112E-1
2.368247750E0,-3.059492733E-1,1.330142158E-1,9.922257185E-2
2.378238750E0,-3.904197586E-1,1.317652506E-1,-1.567287683E-2
2.388230750E0,-2.097912819E-1,1.059129560E-1,-1.207923657E-1
2.398221750E0,2.789819878E-2,2.941582167E-1,-1.536648273E-1
2.408212750E0,2.237779680E-1,3.873499703E-1,-1.239603871E-1
