"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.344079971E-3,6.502670646E1,2.548377601E1,1.505343162E1,NaN,NaN,3.043122025E1,3.000000000E1
6.492018700E-3,6.502670646E1,2.548377601E1,1.377399968E1,NaN,NaN,3.789501400E1,3.000134272E1
7.120966911E-3,6.502671516E1,2.548369649E1,1.530245832E1,NaN,NaN,3.117758918E1,3.000000000E1
3.545105457E-2,6.502671461E1,2.548369829E1,1.530245832E1,NaN,NaN,3.117344717E1,3.000010941E1
3.288914561E0,6.502669047E1,2.548370305E1,1.724465751E1,0.000000000E0,NaN,2.298682854E1,2.191191864E1
4.288899302E0,6.502667931E1,2.548374709E1,1.747814284E1,0.000000000E0,NaN,1.975313752E1,2.988539314E1
5.288882732E0,6.502666238E1,2.548377716E1,1.730531291E1,0.000000000E0,NaN,1.972391235E1,3.483714294E1
6.288867354E0,6.502659864E1,2.548392717E1,2.416192347E1,1.749630868E-1,NaN,2.282525396E1,2.511976242E1
7.288850784E0,6.502660933E1,2.548401881E1,2.616322707E1,4.729120806E-2,NaN,1.749074567E1,2.278593636E1
8.288834929E0,6.502658105E1,2.548405499E1,2.361170806E1,3.675889671E-1,NaN,1.568729212E1,2.107033920E1
9.288943172E0,6.502659052E1,2.548405570E1,2.265212590E1,2.420284748E-1,NaN,1.458490844E1,1.805554008E1
1.025094986E1,6.502659729E1,2.548408568E1,2.235382694E1,3.675889671E-1,NaN,1.359264170E1,1.608311844E1
1.125093639E1,6.502659606E1,2.548409834E1,2.223370270E1,6.548278928E-1,NaN,1.357561614E1,1.568057251E1
1.225120032E1,6.502659273E1,2.548410507E1,2.191918714E1,9.240716100E-1,NaN,1.308976563E1,1.511889458E1
1.325145185E1,6.502658928E1,2.548412648E1,2.130597830E1,1.244122505E0,NaN,1.207662551E1,1.363927174E1
1.425168633E1,6.502658724E1,2.548410373E1,1.973253797E1,1.389085174E0,1.303539008E2,1.263990634E1,1.227349281E1
1.525192547E1,6.502657761E1,2.548414385E1,1.973293111E1,1.389085174E0,1.303539211E2,1.028225688E1,1.227349281E1
1.625216198E1,6.502657295E1,2.548418085E1,1.898632471E1,1.354558945E0,1.271242939E2,9.538038811E0,1.116336441E1
1.725237942E1,6.502656430E1,2.548423184E1,1.637505778E1,1.389085174E0,1.023867542E2,8.025138089E0,8.669251442E0
1.825257373E1,6.502656880E1,2.548426211E1,1.616538103E1,1.535097241E0,1.056644278E2,6.937143553E0,7.122192860E0
1.925275290E1,6.502656741E1,2.548430563E1,1.597297557E1,1.535097241E0,1.019695623E2,6.741461739E0,7.016651154E0
2.025291467E1,6.502656764E1,2.548431119E1,1.649568532E1,1.404432058E0,1.059336440E2,5.641887092E0,6.845093727E0
2.125307500E1,6.502657099E1,2.548429309E1,1.634418381E1,7.369073629E-1,1.059336317E2,4.967731999E0,6.767031193E0
2.225322628E1,6.502657233E1,2.548428532E1,1.617544362E1,4.536816180E-1,1.059336265E2,4.857874201E0,6.819404602E0
2.325335538E1,6.502657949E1,2.548428891E1,1.522082281E1,4.536816180E-1,1.059336265E2,4.310281239E0,6.788020959E0
2.425346351E1,6.502659102E1,2.548428432E1,1.353855332E1,3.509411812E-1,1.059336246E2,4.748651530E0,6.748508923E0
2.525356352E1,6.502660486E1,2.548425634E1,1.285978681E1,3.509411812E-1,1.059336246E2,4.748651530E0,6.965542844E0
2.625365782E1,6.502661730E1,2.548421948E1,1.226986292E1,3.481391668E-1,1.059336245E2,4.748651530E0,7.228908937E0
2.725374341E1,6.502663477E1,2.548418654E1,1.183732128E1,5.342752337E-1,3.384318261E2,4.748651530E0,7.390349671E0
2.825382364E1,6.502663992E1,2.548418389E1,1.132861876E1,3.481391668E-1,3.384318274E2,4.748651530E0,7.020617081E0
2.925389814E1,6.502664420E1,2.548418311E1,1.109903256E1,1.709639132E-1,3.384318287E2,4.748651530E0,6.701712189E0
3.025396693E1,6.502664902E1,2.548418146E1,1.106774343E1,1.359993666E-1,NaN,4.876902110E0,6.631114960E0
3.125403202E1,6.502665688E1,2.548418051E1,1.041200082E1,2.687365711E-1,3.384318280E2,4.748651530E0,6.413568366E0
3.225409007E1,6.502666622E1,2.548418048E1,9.833008390E0,2.687365711E-1,3.384318280E2,4.748651530E0,6.294208932E0
3.325414491E1,6.502668030E1,2.548417949E1,9.542001724E0,3.847792149E-1,3.384318272E2,4.748651530E0,6.167068916E0
3.425419581E1,6.502669754E1,2.548418535E1,9.171963930E0,9.325097203E-1,4.692975781E0,4.748651530E0,6.017472014E0
3.525424147E1,6.502674864E1,2.548419541E1,8.400808356E0,1.212228856E0,8.435350541E-1,1.999999931E0,3.000000000E0
3.625428438E1,6.502676408E1,2.548420642E1,8.861698515E0,1.540537995E0,2.349125067E0,1.999999906E0,3.000000000E0
3.725432312E1,6.502677656E1,2.548420594E1,9.293415143E0,1.239140846E0,3.557575946E2,1.999999932E0,3.000000000E0
3.825435901E1,6.502678866E1,2.548420816E1,9.380032692E0,1.108810156E0,3.560315444E2,1.999999935E0,3.000000000E0
3.925439179E1,6.502680687E1,2.548421127E1,9.348682868E0,1.352809785E0,3.599838366E2,1.999999918E0,3.000000000E0
4.025442314E1,6.502682295E1,2.548420742E1,9.575663469E0,1.347545805E0,3.558944537E2,1.999999922E0,3.000000000E0
4.125444984E1,6.502683642E1,2.548420912E1,9.461944473E0,1.246690717E0,2.741550640E-1,1.999999930E0,3.000000000E0
4.225447476E1,6.502684604E1,2.548420412E1,9.323481528E0,1.250320710E0,3.573562892E2,1.999999940E0,3.000000000E0
4.325449693E1,6.502685784E1,2.548420578E1,9.197207089E0,1.312190501E0,3.596645689E2,1.999999938E0,3.000000000E0
4.425451744E1,6.502687121E1,2.548421125E1,9.294366531E0,1.338258855E0,1.747723791E0,1.999999937E0,3.000000000E0
4.525453544E1,6.502688287E1,2.548421086E1,9.416960003E0,1.319055600E0,4.014940622E-1,1.999999940E0,3.000000000E0
4.625455058E1,6.502689425E1,2.548420911E1,9.593787447E0,1.285517463E0,3.576501735E2,2.004816123E0,3.000000000E0
4.725456572E1,6.502690750E1,2.548421167E1,9.861557804E0,1.265601839E0,1.792225748E0,2.004445652E0,3.000000000E0
4.825457835E1,6.502691853E1,2.548421172E1,1.012820215E1,1.273523404E0,1.772370291E0,2.036596041E0,3.000000000E0
4.925458968E1,6.502693107E1,2.548421282E1,1.003992831E1,1.565419761E0,4.736540734E0,2.034156285E0,3.000000000E0
5.025459933E1,6.502693932E1,2.548422088E1,1.023071111E1,1.224512797E0,1.136413339E1,2.032021533E0,3.000000000E0
5.125460649E1,6.502695245E1,2.548422464E1,1.001301342E1,1.278037303E0,1.399813175E1,2.087948186E0,3.000000000E0
5.225461388E1,6.502696298E1,2.548424599E1,1.000305340E1,1.266779351E0,2.417711895E1,2.083062174E0,3.000000000E0
5.325461948E1,6.502697063E1,2.548427204E1,1.010002919E1,1.249338212E0,3.631673280E1,2.081762494E0,3.000000000E0
5.425462401E1,6.502697288E1,2.548430128E1,1.004370762E1,1.246178903E0,5.091310219E1,2.077674364E0,3.000000000E0
5.525462723E1,6.502697135E1,2.548433653E1,9.967198712E0,1.264628339E0,6.637074432E1,2.087445998E0,3.000000000E0
5.625462961E1,6.502697231E1,2.548436183E1,1.010901529E1,1.005796374E0,6.470867354E1,2.083073703E0,3.000000000E0
5.725463057E1,6.502696747E1,2.548439553E1,1.018488237E1,1.053972125E0,7.731095341E1,2.078920014E0,3.000000000E0
5.825463188E1,6.502696661E1,2.548442139E1,1.009917107E1,1.151547512E0,8.228656867E1,2.074974019E0,3.000000000E0
5.925463021E1,6.502697508E1,2.548442894E1,1.007574337E1,1.316909476E0,8.046128314E1,2.092536359E0,3.000000000E0
